finish_position;name;Bib;Checkpoint;Time In;Dogs In;Total Race Time;Average Speed;Time Enroute;Checkpoint;Time out
1;Mitch Seavey;16;Nome;01/03/14 15:40;11;8d 3h 40m 13s;4.95;2h 30m;Safety;01/03/14 13:10
2;Dallas Seavey;18;Nome;01/03/14 18:24;7;8d 6h 24m 31s;4.88;2h 35m;Safety;01/03/14 15:49
3;Nicolas Petit;24;Nome;01/03/14 18:29;13;8d 6h 29m 13s;4.88;2h 27m;Safety;01/03/14 16:02
4;Joar Leifseth Ulsom;38;Nome;01/03/14 23:00;8;8d 11h 0m 40s;4.77;3h 2m;Safety;01/03/14 19:58
5;Jessie Royer;37;Nome;01/03/15 01:08;16;8d 13h 8m 54s;4.72;3h 5m;Safety;01/03/14 22:03
6;Wade Marrs;29;Nome;01/03/15 06:43;9;8d 18h 43m 40s;4.59;3h 25m;Safety;01/03/15 03:18
7;Ray Redington Jr;14;Nome;01/03/15 09:13;9;8d 21h 13m 4s;4.54;2h 51m;Safety;01/03/15 06:22
8;Aliy Zirkle;41;Nome;01/03/15 10:49;9;8d 22h 49m 42s;4.51;3h 7m;Safety;01/03/15 07:42
9;Peter Kaiser;25;Nome;01/03/15 11:05;10;8d 23h 5m 38s;4.50;3h 22m;Safety;01/03/15 07:43
10;Paul Gebhardt;57;Nome;01/03/15 12:00;8;9d 0h 0m 6s;4.48;2h 58m;Safety;01/03/15 09:02
11;Jeff King;34;Nome;01/03/15 12:49;12;9d 0h 49m 42s;4.46;2h 30m;Safety;01/03/15 10:19
12;Ramey Smyth;44;Nome;01/03/15 13:47;9;9d 1h 47m 8s;4.44;2h 52m;Safety;01/03/15 10:55
13;Michelle Phillips;9;Nome;01/03/15 14:02;12;9d 2h 2m 45s;4.44;3h 7m;Safety;01/03/15 10:55
14;Ryan Redington;2;Nome;01/03/15 14:52;9;9d 2h 52m 7s;4.42;3h 18m;Safety;01/03/15 11:34
15;Hans Gatt;32;Nome;01/03/15 15:16;9;9d 3h 16m 27s;4.41;2h 55m;Safety;01/03/15 12:21
16;Ralph Johannessen;39;Nome;01/03/15 15:41;9;9d 3h 41m 6s;4.41;3h 15m;Safety;01/03/15 12:26
17;Ken Anderson;59;Nome;01/03/15 17:13;9;9d 5h 13m 31s;4.38;3h 11m;Safety;01/03/15 14:02
18;John Baker;65;Nome;01/03/15 17:50;8;9d 5h 50m 30s;4.36;3h 29m;Safety;01/03/15 14:21
19;Katherine Keith;52;Nome;01/03/15 17:50;8;9d 5h 50m 31s;4.36;3h 29m;Safety;01/03/15 14:21
20;Linwood Fiedler;6;Nome;01/03/15 18:09;9;9d 6h 9m 52s;4.36;3h 8m;Safety;01/03/15 15:01
21;Jason Mackey;64;Nome;01/03/15 18:19;9;9d 6h 19m 23s;4.35;2h 50m;Safety;01/03/15 15:29
22;Robert Redington;70;Nome;01/03/15 19:33;8;9d 7h 33m 16s;4.33;2h 49m;Safety;01/03/15 16:44
23;Sebastien Vergnaud;13;Nome;01/03/15 20:27;8;9d 8h 27m 53s;4.31;2h 48m;Safety;01/03/15 17:39
24;Richie Diehl;21;Nome;01/03/15 20:33;11;9d 8h 33m 22s;4.31;2h 52m;Safety;01/03/15 17:41
25;Mats Pettersson;33;Nome;01/03/15 22:00;12;9d 10h 0m 22s;4.28;3h 14m;Safety;01/03/15 18:46
26;Lars Monsen;45;Nome;01/03/15 23:01;9;9d 11h 1m 58s;4.26;3h 8m;Safety;01/03/15 19:53
27;Hugh Neff;50;Nome;01/03/15 23:40;10;9d 11h 40m 7s;4.25;3h 44m;Safety;01/03/15 19:56
28;Rick Casillo;27;Nome;01/03/15 23:56;10;9d 11h 56m 40s;4.25;3h 6m;Safety;01/03/15 20:50
29;Noah Burmeister;63;Nome;01/03/16 02:29;8;9d 14h 29m 49s;4.20;3h 21m;Safety;01/03/15 23:08
30;Cody Strathe;5;Nome;01/03/16 02:34;10;9d 14h 34m 41s;4.20;2h 43m;Safety;01/03/15 23:51
31;Ketil Reitan;11;Nome;01/03/16 02:48;10;9d 14h 48m 58s;4.19;2h 59m;Safety;01/03/15 23:49
32;Martin Buser;15;Nome;01/03/16 03:14;11;9d 15h 14m 51s;4.19;3h 5m;Safety;01/03/16 00:09
33;Melissa Stewart;56;Nome;01/03/16 08:05;12;9d 20h 5m 59s;4.10;2h 54m;Safety;01/03/16 05:11
34;Scott Smith;69;Nome;01/03/16 08:26;7;9d 20h 26m 20s;4.09;3h 14m;Safety;01/03/16 05:12
35;Nathan Schroeder;62;Nome;01/03/16 09:08;9;9d 21h 8m 12s;4.08;3h 8m;Safety;01/03/16 06:00
36;Nicolas Vanier;26;Nome;01/03/16 09:40;14;9d 21h 40m 7s;4.07;2h 51m;Safety;01/03/16 06:49
37;Seth Barnes;51;Nome;01/03/16 10:33;10;9d 22h 33m 30s;4.06;2h 55m;Safety;01/03/16 07:38
38;Karin Hendrickson;20;Nome;01/03/16 12:52;10;10d 0h 52m 5s;4.02;3h 7m;Safety;01/03/16 09:45
39;Allen Moore;36;Nome;01/03/16 13:24;14;10d 1h 24m 27s;4.01;2h 32m;Safety;01/03/16 10:52
40;Kristy Berington;73;Nome;01/03/16 14:29;10;10d 2h 29m 53s;3.99;2h 49m;Safety;01/03/16 11:40
41;Anna Berington;66;Nome;01/03/16 14:30;7;10d 2h 30m 14s;3.99;2h 48m;Safety;01/03/16 11:42
42;Laura Neese;7;Nome;01/03/16 15:40;10;10d 3h 40m 40s;3.97;2h 49m;Safety;01/03/16 12:51
43;Jodi Bailey;28;Nome;01/03/17 05:41;11;10d 17h 41m 40s;3.76;6h 13m;Safety;01/03/16 23:28
44;Larry Daugherty;71;Nome;01/03/17 06:29;11;10d 18h 29m 10s;3.74;2h 44m;Safety;01/03/17 03:45
45;Geir Idar Hjelvik;54;Nome;01/03/17 08:05;13;10d 20h 5m 19s;3.72;3h 7m;Safety;01/03/17 04:58
46;Charley Bejna;46;Nome;01/03/17 09:30;10;10d 21h 30m 21s;3.70;3h 14m;Safety;01/03/17 06:16
47;DeeDee Jonrowe;22;Nome;01/03/17 10:03;12;10d 22h 3m 37s;3.69;2h 49m;Safety;01/03/17 07:14
48;Gunnar Johnson;19;Nome;01/03/17 10:04;11;10d 22h 4m 6s;3.69;3h 1m;Safety;01/03/17 07:03
49;Justin High;48;Nome;01/03/17 12:14;9;11d 0h 14m 35s;3.66;3h 16m;Safety;01/03/17 08:58
50;Dave Delcourt;72;Nome;01/03/17 12:18;10;11d 0h 18m 8s;3.66;2h 49m;Safety;01/03/17 09:29
51;Justin Stielstra;49;Nome;01/03/17 13:44;11;11d 1h 44m 36s;3.64;3h 27m;Safety;01/03/17 10:17
52;Trent Herbst;67;Nome;01/03/17 14:51;8;11d 2h 51m 14s;3.63;3h 38m;Safety;01/03/17 11:13
53;Kristin Bacon;17;Nome;01/03/17 17:45;12;11d 5h 45m 43s;3.59;3h 21m;Safety;01/03/17 14:24
54;Misha Wiljes;4;Nome;01/03/17 21:37;12;11d 9h 37m 20s;3.54;3h 43m;Safety;01/03/17 17:54
55;Joe Carson;12;Nome;01/03/18 01:38;14;11d 13h 38m 7s;3.49;3h 27m;Safety;01/03/17 22:11
56;Thomas Rosenbloom;40;Nome;01/03/18 02:49;10;11d 14h 49m 25s;3.47;3h 30m;Safety;01/03/17 23:19
57;Zoya DeNure;42;Nome;01/03/18 07:24;12;11d 19h 24m 25s;3.42;2h 44m;Safety;01/03/18 04:40
58;Michael Baker;61;Nome;01/03/18 08:16;10;11d 20h 16m 33s;3.41;2h 57m;Safety;01/03/18 05:19
59;Matthew Failor;55;Nome;01/03/18 08:19;10;11d 20h 19m 3s;3.40;3h 7m;Safety;01/03/18 05:12
60;Jimmy Lebling;43;Nome;01/03/18 12:19;12;12d 0h 19m 6s;3.36;2h 57m;Safety;01/03/18 09:22
61;Paul Hansen;47;Nome;01/03/18 14:19;12;12d 2h 19m 11s;3.33;3h 4m;Safety;01/03/18 11:15
62;Alan Eischens;35;Nome;01/03/18 14:39;16;12d 2h 39m 46s;3.33;3h 30m;Safety;01/03/18 11:09
63;Peter Reuter;53;Nome;01/03/18 14:45;9;12d 2h 45m 38s;3.33;3h 36m;Safety;01/03/18 11:09
64;Cindy Abbott;31;Nome;01/03/18 14:57;12;12d 2h 57m 31s;3.33;3h 4m;Safety;01/03/18 11:53
100;Monica Zappa;58;Shaktoolik;01/03/15 02:18;9;;;6h 7m;Unalakleet;01/03/14 20:11
100;Roger Lee;10;Shaktoolik;01/03/16 12:30;9;;;17h 25m;Unalakleet;01/03/15 19:05
100;Dave Branholm;60;Kaltag;01/03/13 02:14;13;;;4h 25m;Nulato;03/12/17 21:49
100;Ellen Halverson;30;Koyukuk;01/03/14 08:41;11;;;20h 5m;Huslia;01/03/13 12:36
100;Ryan Anderson;8;Galena;03/11/17 12:21;10;;;5h 47m;Ruby;03/11/17 06:34
100;Mark Selland;23;Ruby;03/09/17 21:10;14;;;26h 35m;Tanana;03/08/17 18:35
100;Mark May;68;Tanana;03/08/17 11:35;16;;;9h 30m;Manley;03/08/17 02:05
100;Otto Balogh;3;Fairbanks;03/06/17 09:02;16;;;;;
