Number,Name,Status,Country,Checkpoint,Latitude,Longitude,Distance,Time,Speed,Arrival Date,Arrival Time,Arrival Dogs,Elapsed Time,Departure Date,Departure Time,Departure Dogs
2,Ryan Redington,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:00:00,16
3,Otto Balogh,Rookie,Hungary,Fairbanks,64.8321,-147.813,,0,,,,,,,,
4,Misha Wiljes,Rookie,Czech Republic,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:04:00,15
5,Cody Strathe,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:06:00,16
6,Linwood Fiedler,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:08:00,16
7,Laura Neese,Rookie,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:10:00,16
8,Ryan Anderson,Rookie,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:12:00,16
9,Michelle Phillips,Veteran,Canada,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:14:00,16
10,Roger Lee,Rookie,England,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:16:00,16
11,Ketil Reitan,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:18:00,16
12,Joe Carson,Rookie,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:20:00,16
13,Sebastien Vergnaud,Rookie,France,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:22:00,12
14,Ray Redington Jr.,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:24:00,16
15,Martin Buser,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:26:00,16
16,Mitch Seavey,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:28:00,16
17,Kristin Bacon,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:30:00,16
18,Dallas Seavey,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:32:00,16
19,Gunnar Johnson,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:34:00,16
20,Karin Hendrickson,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:36:00,16
21,Richie Diehl,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:38:00,16
22,DeeDee Jonrowe,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:40:00,16
23,Mark Selland,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:42:00,16
24,Nicolas Petit,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:44:00,16
25,Peter Kaiser,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:46:00,16
26,Nicolas Vanier,Rookie,France,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:48:00,16
27,Rick Casillo,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:50:00,16
28,Jodi Bailey,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:52:00,16
29,Wade Marrs,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:54:00,16
30,Ellen Halverson,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:56:00,16
31,Cindy Abbott,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,11:58:00,16
32,Hans Gatt,Veteran,Canada,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:00:00,16
33,Mats Pettersson,Veteran,Sweden,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:02:00,16
34,Jeff King,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:04:00,16
35,Alan Eischens,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:06:00,16
36,Allen Moore,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:08:00,16
37,Jessie Royer,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:10:00,16
38,Joar Leifseth Ulsom,Veteran,Norway,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:12:00,16
39,Ralph Johannessen,Veteran,Norway,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:14:00,16
40,Thomas Rosenbloom,Rookie,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:16:00,16
41,Aliy Zirkle,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:18:00,16
42,Zoya DeNure,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:20:00,16
43,Jimmy Lebling,Rookie,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:22:00,16
44,Ramey Smyth,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:24:00,16
45,Lars Monsen,Veteran,Norway,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:26:00,16
46,Charley Bejna,Veteran,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:28:00,16
47,Paul Hansen,Rookie,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:30:00,16
48,Justin High,Rookie,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:32:00,16
49,Justin Stielstra,Rookie,United States,Fairbanks,64.8321,-147.813,,0,,,,,0,03/06/2017,12:34:00,16
